cell_id,total_buildings,buildings_within_400m,accessibility_pct,avg_distance_m,ndvi_mean,ndvi_min,ndvi_max,ndvi_std
182,214,214,100.0,121.2,0.125413916015625,-0.010404624044895172,0.375314861536026,0.0789477548234821
183,409,409,100.0,80.0,0.07218760375976563,-0.01977461203932762,0.3024769425392151,0.04921103496668169
184,148,148,100.0,249.8,0.038161692716637434,-0.0024999999441206455,0.27064308524131775,0.04632159201188224
185,2,2,100.0,33.8,0.44114038584183674,0.0,0.5540390610694885,0.07231104265875336
186,7,7,100.0,0.0,0.34780439453125,0.054085154086351395,0.5761350393295288,0.12214246071700297
187,72,72,100.0,56.0,0.20564619140625,-0.008039922453463078,0.445141077041626,0.11678056178947882
188,121,121,100.0,52.0,0.11837310791015625,0.0,0.4423584043979645,0.07182230422066803
189,64,64,100.0,77.4,0.17104268798828126,0.0017201835289597511,0.44116589426994324,0.10998184541477303
190,136,136,100.0,157.3,0.2237326171875,0.01726844534277916,0.44154590368270874,0.09504880162333146
191,131,131,100.0,89.9,0.1719190673828125,-0.006329114083200693,0.42318156361579895,0.08608435267109006
192,81,81,100.0,136.7,0.180000927734375,0.005422153510153294,0.437961608171463,0.09732382310824599
193,47,47,100.0,100.1,0.33439384765625,0.05718665197491646,0.5708399415016174,0.09839709310772668
194,42,42,100.0,82.5,0.3109255859375,0.060388945043087006,0.5338171124458313,0.08375293229633911
195,63,63,100.0,95.3,0.240358203125,0.006127055734395981,0.4947774410247803,0.09875205114162779
196,52,52,100.0,75.5,0.2748805908203125,0.03459424525499344,0.45334625244140625,0.08919456372595404
197,74,70,94.6,193.1,0.2764364013671875,0.06064630299806595,0.44184261560440063,0.07538150354702594
198,42,35,83.3,273.2,0.34592119140625,0.07648026198148727,0.5062872171401978,0.09706328178353164
199,1,1,100.0,49.0,0.378299267578125,0.11104387044906616,0.5174323916435242,0.0805088308210263
201,10,10,100.0,18.6,0.3167767333984375,0.006572507321834564,0.4838709533214569,0.10622534690025355
202,3,3,100.0,81.9,0.299438671875,0.11508037894964218,0.4448249638080597,0.06345220327316435
203,5,0,0.0,539.6,0.3555279052734375,0.09668039530515671,0.47415563464164734,0.061761225646887616
204,42,24,57.1,292.4,0.3192688232421875,0.016001706942915916,0.4738340973854065,0.09891422192399711
205,86,86,100.0,93.4,0.27864072265625,0.0373111329972744,0.4832248389720917,0.10753271002097617
